fold_id,horizon,train_start,train_end,test_start,test_end,mae,rmse,mase,bias,model_name,fit_success,fallback_triggered,fallback_reason,exception_type,warning_count,n_train,n_exog,condition_number,model_runtime_seconds,selected_spec,used_exog_columns
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,111.48812154134114,145.58921884088727,0.8613805570961663,-21.186536661783855,fourier_dynamic_regression,,,,,,,,,,,
5,30,2019-01-01,2024-11-06,2024-11-07,2024-12-06,162.76636664948555,199.33846343567868,1.2575670093164453,122.74620584192353,tree_boosting_fallback,,,,,,,,,,,
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,234.83333333333334,267.6408663364646,1.810307033365559,225.63333333333333,naive,,,,,,,,,,,
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,258.76666666666665,309.14866973674657,1.994806742372865,248.76666666666668,seasonal_naive_7,,,,,,,,,,,
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,308.3666666666667,360.25060721669854,2.377168256304441,308.3,seasonal_naive_30,,,,,,,,,,,
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,240.56199704643737,283.08660012828176,1.8544687376024007,237.73195991229696,ets,,,,,,,,,,,
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,113.35717621630077,156.85666777574514,0.8738593046990561,81.51349367902776,sarimax_dynamic,True,False,,,0.0,1095.0,8.0,5.366611464491355,2.9169842079863884,"order=(1, 0, 1); seasonal_order=(0, 1, 1, 7); trend=n",is_holiday|is_weekend|yearly_cos_1|yearly_cos_2|yearly_cos_3|yearly_sin_1|yearly_sin_2|yearly_sin_3
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,99.13745829264323,127.66981823566553,0.7642409000020872,29.372518920898436,fourier_dynamic_regression,,,,,,,,,,,
6,30,2019-01-01,2024-11-13,2024-11-14,2024-12-13,188.79042214023687,221.24960480394023,1.4553667666395618,185.38700289635287,tree_boosting_fallback,,,,,,,,,,,
7,30,2019-01-01,2024-11-20,2024-11-21,2024-12-20,216.3,242.21608809765988,1.6675195788656125,209.3,naive,,,,,,,,,,,
