date,target,missing_period_flag,series_scope
2021-02-02,406,0,system_level
2021-02-03,375,0,system_level
2021-02-04,469,0,system_level
2021-02-05,485,0,system_level
2021-02-06,593,0,system_level
2021-02-07,521,0,system_level
2021-02-08,362,0,system_level
2021-02-09,382,0,system_level
2021-02-10,425,0,system_level
2021-02-11,420,0,system_level
2021-02-12,434,0,system_level
2021-02-13,543,0,system_level
2021-02-14,599,0,system_level
2021-02-15,440,0,system_level
2021-02-16,430,0,system_level
2021-02-17,400,0,system_level
2021-02-18,447,0,system_level
2021-02-19,433,0,system_level
2021-02-20,587,0,system_level
2021-02-21,624,0,system_level
2021-02-22,379,0,system_level
2021-02-23,449,0,system_level
2021-02-24,431,0,system_level
2021-02-25,474,0,system_level
2021-02-26,399,0,system_level
2021-02-27,668,0,system_level
2021-02-28,580,0,system_level
2021-03-01,403,0,system_level
2021-03-02,382,0,system_level
2021-03-03,208,0,system_level
2021-03-04,449,0,system_level
2021-03-05,397,0,system_level
2021-03-06,629,0,system_level
2021-03-07,493,0,system_level
2021-03-08,367,0,system_level
2021-03-09,347,0,system_level
2021-03-10,221,0,system_level
2021-03-11,327,0,system_level
2021-03-12,365,0,system_level
2021-03-13,680,0,system_level
2021-03-14,570,0,system_level
2021-03-15,218,0,system_level
2021-03-16,457,0,system_level
2021-03-17,427,0,system_level
2021-03-18,434,0,system_level
2021-03-19,418,0,system_level
2021-03-20,692,0,system_level
2021-03-21,639,0,system_level
2021-03-22,417,0,system_level
2021-03-23,501,0,system_level
2021-03-24,474,0,system_level
2021-03-25,397,0,system_level
2021-03-26,433,0,system_level
2021-03-27,714,0,system_level
2021-03-28,689,0,system_level
2021-03-29,481,0,system_level
2021-03-30,482,0,system_level
2021-03-31,530,0,system_level
2021-04-01,577,0,system_level
2021-04-02,590,0,system_level
2021-04-03,621,0,system_level
2021-04-04,752,0,system_level
2021-04-05,406,0,system_level
2021-04-06,492,0,system_level
2021-04-07,455,0,system_level
2021-04-08,482,0,system_level
2021-04-09,520,0,system_level
2021-04-10,755,0,system_level
2021-04-11,756,0,system_level
2021-04-12,513,0,system_level
2021-04-13,396,0,system_level
2021-04-14,437,0,system_level
2021-04-15,515,0,system_level
2021-04-16,572,0,system_level
2021-04-17,849,0,system_level
2021-04-18,674,0,system_level
2021-04-19,489,0,system_level
2021-04-20,547,0,system_level
2021-04-21,501,0,system_level
2021-04-22,540,0,system_level
2021-04-23,552,0,system_level
2021-04-24,605,0,system_level
2021-04-25,600,0,system_level
2021-04-26,436,0,system_level
2021-04-27,477,0,system_level
2021-04-28,504,0,system_level
2021-04-29,506,0,system_level
2021-04-30,587,0,system_level
2021-05-01,753,0,system_level
2021-05-02,600,0,system_level
2021-05-03,522,0,system_level
2021-05-04,604,0,system_level
2021-05-05,516,0,system_level
2021-05-06,550,0,system_level
2021-05-07,564,0,system_level
2021-05-08,734,0,system_level
2021-05-09,675,0,system_level
2021-05-10,467,0,system_level
2021-05-11,546,0,system_level
2021-05-12,540,0,system_level
2021-05-13,589,0,system_level
2021-05-14,564,0,system_level
2021-05-15,702,0,system_level
2021-05-16,696,0,system_level
2021-05-17,541,0,system_level
2021-05-18,670,0,system_level
2021-05-19,627,0,system_level
2021-05-20,608,0,system_level
2021-05-21,701,0,system_level
2021-05-22,714,0,system_level
2021-05-23,813,0,system_level
2021-05-24,615,0,system_level
2021-05-25,611,0,system_level
2021-05-26,646,0,system_level
2021-05-27,663,0,system_level
2021-05-28,695,0,system_level
2021-05-29,896,0,system_level
2021-05-30,766,0,system_level
2021-05-31,731,0,system_level
2021-06-01,579,0,system_level
2021-06-02,493,0,system_level
2021-06-03,657,0,system_level
2021-06-04,665,0,system_level
2021-06-05,845,0,system_level
2021-06-06,799,0,system_level
2021-06-07,519,0,system_level
2021-06-08,600,0,system_level
2021-06-09,596,0,system_level
2021-06-10,684,0,system_level
2021-06-11,741,0,system_level
2021-06-12,783,0,system_level
2021-06-13,736,0,system_level
2021-06-14,588,0,system_level
2021-06-15,710,0,system_level
2021-06-16,694,0,system_level
2021-06-17,623,0,system_level
2021-06-18,796,0,system_level
2021-06-19,901,0,system_level
2021-06-20,866,0,system_level
2021-06-21,575,0,system_level
2021-06-22,813,0,system_level
2021-06-23,555,0,system_level
2021-06-24,619,0,system_level
2021-06-25,752,0,system_level
2021-06-26,922,0,system_level
2021-06-27,784,0,system_level
2021-06-28,618,0,system_level
2021-06-29,574,0,system_level
2021-06-30,638,0,system_level
2021-07-01,610,0,system_level
2021-07-02,681,0,system_level
2021-07-03,874,0,system_level
2021-07-04,992,0,system_level
2021-07-05,748,0,system_level
2021-07-06,606,0,system_level
2021-07-07,602,0,system_level
2021-07-08,590,0,system_level
2021-07-09,611,0,system_level
2021-07-10,713,0,system_level
2021-07-11,637,0,system_level
